-1.000000000000000000e+02 4.094367905128031282e-01
-9.900000000000000000e+01 4.094362314420543214e-01
-9.800000000000000000e+01 4.094356674608228275e-01
-9.700000000000000000e+01 4.094351067953354573e-01
-9.600000000000000000e+01 4.094345462513846456e-01
-9.500000000000000000e+01 4.094339858131768040e-01
-9.400000000000000000e+01 4.094334251464051277e-01
-9.300000000000000000e+01 4.094328624925420712e-01
-9.200000000000000000e+01 4.094322862887445069e-01
-9.100000000000000000e+01 4.094317366688873250e-01
-9.000000000000000000e+01 4.094311717082881330e-01
-8.900000000000000000e+01 4.094305748786215560e-01
-8.800000000000000000e+01 4.094300526283571884e-01
-8.700000000000000000e+01 4.094294951354324752e-01
-8.600000000000000000e+01 4.094289260461660973e-01
-8.500000000000000000e+01 4.094283629004813463e-01
-8.400000000000000000e+01 4.094277951557785400e-01
-8.300000000000000000e+01 4.094272155702611826e-01
-8.200000000000000000e+01 4.094266978902325604e-01
-8.100000000000000000e+01 4.094261017113343115e-01
-8.000000000000000000e+01 4.094255583609953675e-01
-7.900000000000000000e+01 4.094249412702630764e-01
-7.800000000000000000e+01 4.094244311827992533e-01
-7.700000000000000000e+01 4.094238582220715017e-01
-7.600000000000000000e+01 4.094232675554518863e-01
-7.500000000000000000e+01 4.094227801423144797e-01
-7.400000000000000000e+01 4.094221781960456497e-01
-7.300000000000000000e+01 4.094215598925634580e-01
-7.200000000000000000e+01 4.094210216066542785e-01
-7.100000000000000000e+01 4.094204296967660639e-01
-7.000000000000000000e+01 4.094199348059746058e-01
-6.900000000000000000e+01 4.094192625627171012e-01
-6.800000000000000000e+01 4.094187664647996883e-01
-6.700000000000000000e+01 4.094181311669338186e-01
-6.600000000000000000e+01 4.094176399541522571e-01
-6.500000000000000000e+01 4.094169717124014340e-01
-6.400000000000000000e+01 4.094163897024403198e-01
-6.300000000000000000e+01 4.094156455996014188e-01
-6.200000000000000000e+01 4.094150284936155515e-01
-6.100000000000000000e+01 4.094147345587320075e-01
-6.000000000000000000e+01 4.094138162105007694e-01
-5.900000000000000000e+01 4.094133506670818434e-01
-5.800000000000000000e+01 4.094127911625697891e-01
-5.700000000000000000e+01 4.094104795960857857e-01
-5.600000000000000000e+01 4.094107228249193042e-01
-5.500000000000000000e+01 4.094115365891317637e-01
-5.400000000000000000e+01 4.094110852445371762e-01
-5.300000000000000000e+01 4.094105144239383876e-01
-5.200000000000000000e+01 4.094097482174188229e-01
-5.100000000000000000e+01 4.094088180051356218e-01
-5.000000000000000000e+01 4.094079687493756836e-01
-4.900000000000000000e+01 4.094077541390523933e-01
-4.800000000000000000e+01 4.094071592380581492e-01
-4.700000000000000000e+01 4.094066678436352191e-01
-4.600000000000000000e+01 4.094066182068312187e-01
-4.500000000000000000e+01 4.094056446698939311e-01
-4.400000000000000000e+01 4.094053283953504874e-01
-4.300000000000000000e+01 4.094045371593173499e-01
-4.200000000000000000e+01 4.094030058738651334e-01
-4.100000000000000000e+01 4.094023316886308272e-01
-4.000000000000000000e+01 4.094023345117498991e-01
-3.900000000000000000e+01 4.094025516717008095e-01
-3.800000000000000000e+01 4.094016308152572670e-01
-3.700000000000000000e+01 4.094019045121766176e-01
-3.600000000000000000e+01 4.093990152004178817e-01
-3.500000000000000000e+01 4.093981950776655054e-01
-3.400000000000000000e+01 4.093973906026651122e-01
-3.300000000000000000e+01 4.093963994945273299e-01
-3.200000000000000000e+01 4.094003382193021068e-01
-3.100000000000000000e+01 4.093935110840991598e-01
-3.000000000000000000e+01 4.093977474914978210e-01
-2.900000000000000000e+01 4.094009740826911603e-01
-2.800000000000000000e+01 4.093949134383727539e-01
-2.700000000000000000e+01 4.093926243340764159e-01
-2.600000000000000000e+01 4.093942937916357216e-01
-2.500000000000000000e+01 4.093954891312761024e-01
-2.400000000000000000e+01 4.093913932393458133e-01
-2.300000000000000000e+01 4.094013249147423483e-01
-2.200000000000000000e+01 4.094006740940900890e-01
-2.100000000000000000e+01 4.094126360330641035e-01
-2.000000000000000000e+01 4.094303808638399822e-01
-1.900000000000000000e+01 4.094530045164845866e-01
-1.800000000000000000e+01 4.094834832247726819e-01
-1.700000000000000000e+01 4.095459894295627734e-01
-1.600000000000000000e+01 4.096321899358792429e-01
-1.500000000000000000e+01 4.097480114980613930e-01
-1.400000000000000000e+01 4.099704786284182889e-01
-1.300000000000000000e+01 4.102693652061126794e-01
-1.200000000000000000e+01 4.106590878400629974e-01
-1.100000000000000000e+01 4.112243583082645371e-01
-1.000000000000000000e+01 4.121081285570548092e-01
-9.000000000000000000e+00 4.132932992905665182e-01
-8.000000000000000000e+00 4.149215963505852311e-01
-7.000000000000000000e+00 4.170832025548243949e-01
-6.000000000000000000e+00 4.200035369605742974e-01
-5.000000000000000000e+00 4.237648601888909239e-01
-4.000000000000000000e+00 4.285706594748436293e-01
-3.000000000000000000e+00 4.346242633593669358e-01
-2.000000000000000000e+00 4.420099394757631694e-01
-1.000000000000000000e+00 4.510454286454547712e-01
0.000000000000000000e+00 4.617298642993632463e-01
1.000000000000000000e+00 4.742270213655037647e-01
2.000000000000000000e+00 4.885877368903099316e-01
3.000000000000000000e+00 5.049995541185487991e-01
4.000000000000000000e+00 5.231995864126308682e-01
5.000000000000000000e+00 5.432854009908013593e-01
6.000000000000000000e+00 5.652657708151057614e-01
7.000000000000000000e+00 5.886720121940443029e-01
8.000000000000000000e+00 6.136670328376485628e-01
9.000000000000000000e+00 6.398930836698573099e-01
1.000000000000000000e+01 6.670234223468054502e-01
1.100000000000000000e+01 6.951816781145521151e-01
1.200000000000000000e+01 7.239074368932465475e-01
1.300000000000000000e+01 7.531396540122319294e-01
1.400000000000000000e+01 7.825899791956107965e-01
1.500000000000000000e+01 8.120948744906411054e-01
1.600000000000000000e+01 8.414053734303774679e-01
1.700000000000000000e+01 8.705909042111762419e-01
1.800000000000000000e+01 8.992745202099902135e-01
1.900000000000000000e+01 9.277420831884378716e-01
2.000000000000000000e+01 9.555961934682019043e-01
2.100000000000000000e+01 9.827121984536745236e-01
2.200000000000000000e+01 1.008968302418921770e+00
2.300000000000000000e+01 1.035121619668394333e+00
2.400000000000000000e+01 1.059989243885426591e+00
2.500000000000000000e+01 1.084421119781036946e+00
2.600000000000000000e+01 1.107487491955582604e+00
2.700000000000000000e+01 1.130612147923184985e+00
2.800000000000000000e+01 1.152329106813970050e+00
2.900000000000000000e+01 1.173638301258922656e+00
3.000000000000000000e+01 1.193732199152039319e+00
3.100000000000000000e+01 1.213300210113399835e+00
3.200000000000000000e+01 1.232095084043866251e+00
3.300000000000000000e+01 1.250206027996524805e+00
3.400000000000000000e+01 1.267257848700543033e+00
3.500000000000000000e+01 1.284196955975725807e+00
3.600000000000000000e+01 1.299971481541021490e+00
3.700000000000000000e+01 1.315048273489659358e+00
3.800000000000000000e+01 1.329645174099438609e+00
3.900000000000000000e+01 1.343723355436952094e+00
4.000000000000000000e+01 1.357076194194397178e+00
4.100000000000000000e+01 1.369903799859030658e+00
4.200000000000000000e+01 1.381438917042181469e+00
4.300000000000000000e+01 1.393842434176677525e+00
4.400000000000000000e+01 1.404643495770304895e+00
4.500000000000000000e+01 1.415801773687797915e+00
4.600000000000000000e+01 1.425846962076556146e+00
4.700000000000000000e+01 1.435787058996617072e+00
4.800000000000000000e+01 1.445367166694940142e+00
4.900000000000000000e+01 1.453831612874071588e+00
5.000000000000000000e+01 1.462674038064284421e+00
5.100000000000000000e+01 1.470909918559870633e+00
5.200000000000000000e+01 1.478348613114729204e+00
5.300000000000000000e+01 1.486402538051309730e+00
5.400000000000000000e+01 1.492858547737889285e+00
5.500000000000000000e+01 1.499795996318012303e+00
5.600000000000000000e+01 1.506316166853563399e+00
5.700000000000000000e+01 1.512969103297648887e+00
5.800000000000000000e+01 1.518577164098849908e+00
5.900000000000000000e+01 1.524296337367697429e+00
6.000000000000000000e+01 1.529729734775947314e+00
6.100000000000000000e+01 1.535360938617710946e+00
6.200000000000000000e+01 1.539625749940759736e+00
6.300000000000000000e+01 1.544907313170321039e+00
6.400000000000000000e+01 1.549757582406810386e+00
6.500000000000000000e+01 1.554985774397243281e+00
6.600000000000000000e+01 1.557772844239803778e+00
6.700000000000000000e+01 1.565364186693072535e+00
6.800000000000000000e+01 1.566385599791253247e+00
6.900000000000000000e+01 1.570074473346292354e+00
7.000000000000000000e+01 1.573019686014507812e+00
7.100000000000000000e+01 1.578822797890801599e+00
7.200000000000000000e+01 1.580304179514784302e+00
7.300000000000000000e+01 1.583394637566406971e+00
7.400000000000000000e+01 1.587222773653267360e+00
7.500000000000000000e+01 1.590348608145969678e+00
7.600000000000000000e+01 1.592788619868851008e+00
7.700000000000000000e+01 1.595240549724521895e+00
